Date ;CAC Index                                                       ;SPX Index;UKX Index;DAX Index                                                       ;NKY Index                                                       ;INDU Index                                                       ;EUR curncy;EURJPY curncy;EURGBP curncy;GSEACII Index;GSUSCII Index;GSJPCII Index;GOLDS Comdty;CL1 COMB Comdty    ;EUR003M Index;US0003M Index;BP0003M Index;JY0003 Index
28/09/2017;5293,77;2130,05776;8351,27084;12704,65;153,67099;18992,87103;1,1786;132,41;0,87683;#N/A;#N/A;#N/A;1092,43886;43,75424;-0,329;1,335;0,3335;-0,04907
27/09/2017;5281,96;2133,28798;8340,96081;12657,41;153,04951;19010,13524;1,1745;132,53;0,87736;#N/A;#N/A;#N/A;1091,56318;44,36692;-0,329;1,33278;0,32975;-0,03907
26/09/2017;5268,76;2119,19885;8306,06542;12605,2;153,68094;18913,86888;1,1793;132,37;0,87626;#N/A;#N/A;#N/A;1098,42985;44,03327;-0,329;1,33083;0,32588;-0,03264
25/09/2017;5267,13;2107,77536;8293,08199;12594,81;154,34627;18823,20797;1,1848;132,39;0,8798;#N/A;#N/A;#N/A;1106,65678;44,08611;-0,329;1,32972;0,32588;-0,03379
22/09/2017;5281,29;2094,7844;8280,69996;12592,35;151,56173;18710,41427;1,1951;133,84;0,885;#N/A;#N/A;#N/A;1086,14485;42,41105;-0,329;1,32944;0,32688;-0,0275
21/09/2017;5267,29;2095,53348;8262,81549;12600,03;151,6627;18737,3087;1,1941;134,31;0,87922;#N/A;#N/A;#N/A;1082,02049;42,36152;-0,33;1,32833;0,32938;-0,0275
20/09/2017;5241,66;2089,50349;8227,893;12569,17;151,89644;18670,93456;1,1892;133,46;0,88129;#N/A;#N/A;#N/A;1083,95122;41,99434;-0,329;1,32306;0,3265;-0,02921
19/09/2017;5237,44;2093,41064;8195,74472;12561,79;151,70364;18682,81341;1,1994;133,85;0,88807;#N/A;#N/A;#N/A;1094,95572;41,32287;-0,33;1,32611;0,33113;-0,0295
18/09/2017;5229,32;2098,09797;8195,34311;12559,39;#N/A;18712,37608;1,1954;133,35;0,88565;#N/A;#N/A;#N/A;1095,63435;41,82169;-0,329;1,325;0,33256;-0,02807
15/09/2017;5213,91;2093,11844;8198,27223;12518,81;150,41642;18642,39418;1,1945;132,42;0,87889;#N/A;#N/A;#N/A;1105,19467;41,76643;-0,329;1,32389;0,32688;-0,03136
14/09/2017;5225,2;2099,98327;8218,05686;12540,45;150,50855;18683,50763;1,1919;131,4;0,88962;#N/A;#N/A;#N/A;1118,8909;41,98081;-0,329;1,32111;0,3015;-0,0295
13/09/2017;5217,59;2102,82814;8200,219;12553,57;151,08578;18650,09653;1,1885;131,32;0,89978;#N/A;#N/A;#N/A;1113,74884;41,49482;-0,329;1,32;0,30219;-0,03236
12/09/2017;5209,01;2086,83439;8211,71598;12524,77;150,23163;18489,39177;1,1967;131,84;0,90092;#N/A;#N/A;#N/A;1113,27013;40,31597;-0,33;1,31917;0,29231;-0,03207
11/09/2017;5176,71;2078,62164;8162,381;12475,24;149,68341;18427,20897;1,1953;130,76;0,90808;#N/A;#N/A;#N/A;1108,98911;40,15873;-0,331;1,31667;0,28669;-0,02707
08/09/2017;5113,49;2046,75697;8090,45319;12303,98;148,58277;18125,55219;1,2036;129,79;0,91189;#N/A;#N/A;#N/A;1119,61579;39,48112;-0,331;1,31033;0,2855;-0,03207
